Company,Sector,Stage,Amount,Location,About,Funding Year
Cleartax,Accounting,Later Stage Funding,58400000.0,New Delhi,ClearTax India helps individuals prepare and efile their Income Tax Return online,2018
Shuttl,Apps,Debt Financing,1000000.0,Gurugram,Shuttl provides an appbased office shuttle service to make daily commute safe reliable affordable and dignified for everyone,2018
Guruq,Reading Apps,Seed and Pre-Seed Funding,365000.0,New Delhi,A one of its kind digital integrated platform connecting tutors and students,2018
Azure Power,Energy,Post-IPO Equity,185000000.0,New Delhi,Azure Power produces and distributes solar power to commercial government and utility customers in India,2018
Cube,Banking,Early Stage Funding,2044000.0,Mumbai,Cube is consumer banking focused fintech company,2018
Rahi Care,Health Care,Seed and Pre-Seed Funding,1300000.0,Chandigarh,RAHI Care is a Health Care company,2018
Mynvax,Biotechnology,Angel Funding,1300000.0,Bengaluru,Mynvax is a biotech Company,2018
Loans4Sme,Financial Services,Seed and Pre-Seed Funding,1300000.0,Mumbai,Loans4SME is an alternative lending platform,2018
Upcyclerslab,Apps,Seed and Pre-Seed Funding,1300000.0,Mumbai,UpCyclersLab is a startup that makes sustainabilitybased learning tools for children above the age of five,2018
Cellerite Systems,Electric Vehicle,Seed and Pre-Seed Funding,1300000.0,Hyderabad,Cellerite Systems is a charging solutions provider for electric vehicles,2018
Taru Naturals,Agriculture,Seed and Pre-Seed Funding,1300000.0,Mumbai,Taru Naturals is a network that connects farmer communities with clean technology and renewable energy,2018
Letsmd,Fitness,Seed and Pre-Seed Funding,1000000.0,New Delhi,LetsMDcom is a marketplace for elective surgeries,2018
Twenty Two Motors,Automotive,Corporate Funding,65000000.0,Haryana,Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation,2018
Truebil,Automotive,Early Stage Funding,2000000.0,Mumbai,Truebil is a team of young highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible,2018
Farmersfz,Agriculture,Seed and Pre-Seed Funding,1300000.0,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products,2018
Worxogo,Information Technology,Early Stage Funding,2409000.0,Bengaluru,worxogos is a pioneering persuasive technology products align employee behaviours ,2018
Vivish Technologies (Mygate),Apps,Early Stage Funding,9490000.0,Bengaluru,Indias leading mobile based security management solution ,2018
Singularity Dynamics,Artificial Intelligence,Seed and Pre-Seed Funding,1300000.0,Bengaluru,Singularity Dynamics is a Chipdesign testing startup,2018
Virtual Metalstreet(Metalstreet),B2B,Angel Funding,700000.0,Bengaluru,Virtual MetalStreetMetalstreet is a B2B marketplace for steel trading in India,2018
Veritas Finance,Financial Services,Seed and Pre-Seed Funding,30000000.0,Guindy,Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus,2018
Manjushree Technopack,Packaging Services,Private Equity,1300000.0,Bengaluru,Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia,2018
Gozefo,Computer,Seed and Pre-Seed Funding,3066000.0,Bengaluru,Startup working on a white space in the eCommerce industry,2018
Zomato,Food Delivery,Secondary Market,210000000.0,Gurugram,Zomato is a search app offering detailed information for restaurants as well as online food delivery,2018
Innov8 Coworking,Collaboration,Seed and Pre-Seed Funding,4000000.0,New Delhi,Innov8 is a Y Combinator backed company that offers coworking and shared office spaces,2018
Revfin,Accounting,Seed and Pre-Seed Funding,1300000.0,New Delhi,RevFin is a digital lending company,2018
Lavelle Networks,Cloud Computing,Seed and Pre-Seed Funding,292000.0,Bengaluru,Lavelle Networks provides Software Defined WAN SDWAN Solutions to build end to end Enterprise Networking Platforms for tomorrow,2018
Blackbuck,Information Services,Growth Stage Funding,29632160.0,Bengaluru,Blackbuck is a logistics startup based in India,2018
Cardekho,Automotive,Growth Stage Funding,75000000.0,Gurugram,Cardekho is a car search venture that helps users buy cars that are right for them,2018
Elasticrun,Delivery,Later Stage Funding,8760000.0,Pune,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India,2018
Droom Technology Private Limited,Automotive,Growth Stage Funding,30000000.0,Gurugram,Droom is a marketplace for automobiles and automobile services,2018
Vogo Rentals,Last Mile Transportation,Debt Financing,1168000.0,Kormangala,Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips,2018
Innerchef,Cooking,Seed and Pre-Seed Funding,1760000.0,Gurugram,InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive,2018
Livquik,FinTech,Corporate Funding,2700000.0,Mumbai,LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,2018
Disprz,E-Learning,Debt Financing,400000.0,Chennai,Disprz is a oneofitskind knowledgetech startup that strives to make people knowledgeable productive and smarter at what they do,2018
9Stacks,Online Games,Early Stage Funding,4088000.0,New Delhi,Online gaming startup,2018
Origo,Agriculture,Seed and Pre-Seed Funding,11680000.0,Gurugram,Origo Commodities a complete postharvest management services for agricultural commodities is the fastest growing company in its sector,2018
Yourownroom,Online Portals,Seed and Pre-Seed Funding,750000.0,Bengaluru,Good quality strategically located homes closer to work for millennials,2018
Vahdam Teas,E-Commerce,Later Stage Funding,2500000.0,New Delhi,Vahdam Teas is a vertically integrated onlinefirst tea brand that sources premium garden fresh teas direct from over 150 tea plantations,2018
Spoofin,Music,Seed and Pre-Seed Funding,1300000.0,New Delhi,A social networking app that lets you create and view Spoofs of your favourite videos,2018
Strom Motors,Automotive,Angel Funding,1300000.0,Mumbai,Strom Motors is a smart urban mobility Company,2018
Pharmeasy,Health Care,Growth Stage Funding,80000000.0,Mumbai,PharmEasy  Indias largest healthcare delivery platform,2018
Licious,Delivery Service,Growth Stage Funding,25000000.0,Bengaluru,Licious is an online meat and fish ordering startup that solves existing problem of finding safe delectable trustworthy fresh meat,2018
Stanza Living,Hospitality,Seed and Pre-Seed Funding,10658000.0,New Delhi,Stanza Living is a coliving platform created for students moving to a new place,2018
Docturnal,Biotechnology,Seed and Pre-Seed Funding,1300000.0,Hyderabad,Docturnal an online platform enables individuals to find information and diagnostic services related to diabetes cancer and more,2018
Bounce (Metro Bikes),Autonomous Vehicles,Debt Financing,3000000.0,Bengaluru,Bounce formerly Metro Bikes is an urban mobility solution that makes daily commute stressfree timesaving reliable and convenient,2018
Technology 9 Labs (T9L),Information Technology,Corporate Funding,1300000.0,New Delhi,Technology 9 Labs is an Information Technology and Services company,2018
Goals101,Financial Services,Seed and Pre-Seed Funding,3500000.0,New Delhi,Goals101 is a one of the fastest growing bigdata platforms,2018
Satya Microcapital,Finance,Seed and Pre-Seed Funding,5840000.0,New Delhi,New Delhibased nonbanking financial company,2018
Ummeed Housing Finance Private Limited,Finance,Growth Stage Funding,8760000.0,Haryana,Ummeed Housing Finance Private Limited,2018
Stockedge,Analytics,Seed and Pre-Seed Funding,1100000.0,Kolkata,StockEdge is a unique platform which is 100 focused on research and analytics,2018
Sequretek,Cyber Security,Seed and Pre-Seed Funding,3700000.0,Mumbai,Sequretek is a cyber security startup,2018
Avenues Payments,Financial Services,Corporate Funding,1300000.0,Mumbai,Avenues Payments is an IT solutions provider for the remittancemoney transfer and forex industries,2018
Qbera,Finance,Seed and Pre-Seed Funding,2044000.0,Bengaluru,Qbera is a managed marketplace for unsecured personal loans,2018
Urban Ladder,E-Commerce,Debt Financing,5600000.0,Bengaluru,Urban Ladder is a Bangalorebased online furniture company,2018
Planet11,E-Commerce,Corporate Funding,3796000.0,Bengaluru,Planet11 is backed by SK Planet which is a part of the SK Group  one of the largest conglomerates in South Korea,2018
Dailyninja,Apps,Early Stage Funding,1300000.0,Bengaluru,Daily Ninja a mobile app that delivers daily needs on a subscription model,2018
Iba Halal Care,Beauty,Early Stage Funding,2190000.0,Ahmedabad,Iba Halal Care is a cosmetics brand company,2018
Knocksense,News,Seed and Pre-Seed Funding,1300000.0,Lucknow,Knocksense is a fast growing lifestyle website,2018
Togedr,Travel,Seed and Pre-Seed Funding,1300000.0,Gurugram,Togedr is an activity discovery  booking platform,2018
Parkwheels,Industrial,Seed and Pre-Seed Funding,175200.0,Haryana,Parkwheels aims at solving the big bad  unsexy parking problems of India,2018
Sharechat,Internet,Growth Stage Funding,99230000.0,Bengaluru,ShareChat is a social networking and regional content platform for the fast growing Internet users in India,2018
Cyclops Medtech,Health Care,Seed and Pre-Seed Funding,1000000.0,Bengaluru,Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology,2018
Livspace,E-Commerce,Growth Stage Funding,70000000.0,Bengaluru,Livspace is the new online shopping destination where you can design decorate and furnish your dream home,2018
Newsbytes,Apps,Seed and Pre-Seed Funding,1000000.0,Gurugram,NewsBytes provides your everyday news in a contextual timeline to reduce information overload,2018
Leena Ai,Artificial Intelligence,Seed and Pre-Seed Funding,2000000.0,Gurugram,Leena is smart AI powered HR companion dedicated towards engaging employees,2018
Max Healthcare,Health Care,Corporate Funding,1300000.0,New Delhi,Max Healthcare is one of the leading chain of hospitals in India,2018
Gobolt,Logistics,Seed and Pre-Seed Funding,5840000.0,New Delhi,Delhibased logistics technology,2018
Gogaga,Dating,Non-equity Assistance,40000.0,Bengaluru,GoGaga is a new age dating app that has removed the mindless swiping on strangers and connects users through their network and find matches,2018
Mate Labs,Artificial Intelligence,Seed and Pre-Seed Funding,550000.0,Bengaluru,Mate Labs is a machine learning solutions platform for beginners,2018
Furlenco,Consumer,Growth Stage Funding,1300000.0,Bengaluru,Furlenco is a Bangalorebased company that offers a home furniture subscription program,2018
Ola,Apps,Seed and Pre-Seed Funding,50000000.0,Kormangala,Ola is a mobile app that brings together cab drivers and customers using technology to make transportation hasslefree in India,2018
Docprime,Health Care,Miscellaneous,50000000.0,Haryana,DocPrime offers a onestop healthcare solution right at the comfort of patients homes,2018
Clp India Pvt. Ltd.,Energy,Private Equity,365000000.0,Mumbai,CLP India Pvt Ltd is a foreign investor in the Indian power sector,2018
Xplorabox,E-Commerce,Seed and Pre-Seed Funding,1300000.0,Noida,Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry,2018
Myra,Apps,Seed and Pre-Seed Funding,127750.0,Bengaluru,Myra is a unique solution of technology and operations that makes buying medicines fast and efficient,2018
Vokal,Internet,Early Stage Funding,1500000.0,Bengaluru,Indias Largest PeertoPeer Knowledge Sharing Platform in Indian Languages,2018
Kissht,Credit,Growth Stage Funding,30000000.0,Mumbai,Kissht is a financial technology platform that enables instant seamless credit for consumers to make purchases at digital points of sales,2018
Upwards Fintech,Banking,Early Stage Funding,5000000.0,Mumbai,Upwards Fintech financial company,2018
Bon(Bonfleet Solutions),Financial Services,Seed and Pre-Seed Funding,1138800.0,Pune,Bon a Punebased FinTech firm was created to bring financial services to the gigeconomy workforce,2018
Mamaearth,E-Commerce,Early Stage Funding,4000000.0,Gurugram,Mamaearth is an online retailer specializing in baby and toddler products,2018
Babychakra,Child Care,Later Stage Funding,1300000.0,Mumbai,BabyChakra is Indias largest  most loved platform to discover the right maternity and childcare,2018
Belstar Investment And Finance Private Limited,Financial Services,Seed and Pre-Seed Funding,28000000.0,Chennai,Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs,2018
Naaptol,E-Commerce,Seed and Pre-Seed Funding,15000000.0,Mumbai,Koku Gamer is an online platform that offers gaming related news editorials reviews previews and other content,2018
Moonshine Meadery,Food And Beverage,Seed and Pre-Seed Funding,1300000.0,Pune,Moonshine Meadery is a first craft meadery,2018
Verzeo,E-Learning,Early Stage Funding,5000000.0,Bengaluru,Verzeo is anAIfocussed edtech startup,2018
Haazri,Food And Beverage,Seed and Pre-Seed Funding,182500.0,Mumbai,Haazri is a tea and snack quick service restaurant startup,2018
Connect India,Delivery Service,Angel Funding,1300000.0,New Delhi,To create pervasive network where connections are simpler more powerful more affordable more global and more available to all,2018
Flyrobe,Fashion,Later Stage Funding,3854400.0,Mumbai,Flyrobe is an ondemand apparel rental platform that provides premium designer wear,2018
Scholify,Edutech,Seed and Pre-Seed Funding,1300000.0,Bengaluru,Edutech,2018
Dream11,Fantasy Sports,Growth Stage Funding,100000000.0,Mumbai,Dream11 is Indias Biggest Sports Game with 30 million users playing Fantasy Cricket Football Kabaddi and NBA,2018
Srjna,Education,Seed and Pre-Seed Funding,1300000.0,Jaipur,SRJNA is a brand of Elation Edtech Pvt Ltd which helps schools to integrate hands on affordable and turnkey STEM,2018
Nykaa,Beauty,Secondary Market,16498000.0,Mumbai,Nykaacom is a premier online beauty and wellness destination,2018
Chaayos,Food And Beverage,Later Stage Funding,11826000.0,New Delhi,Chaayos was born in November 2012 out of this premise  a contemporary interpretation of the chai adda,2018
Heelium,Fitness,Seed and Pre-Seed Funding,1300000.0,Pune,Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability,2018
Lt Foods,Food And Beverage,Post-IPO Equity,20440000.0,New Delhi,LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live,2018
Multibashi,E-Learning,Seed and Pre-Seed Funding,146000.0,Bengaluru,Free language learning platform,2018
Cleardekho,Eyewear,Seed and Pre-Seed Funding,1300000.0,Ghaziabad,Uttar Pradesh based online eyewear marketplace,2018
Dailyhunt,Information Technology,Growth Stage Funding,6000000.0,Bengaluru,NewsHunt is a Bangalore based eBooks company,2018
Slicepay,FinTech,Early Stage Funding,14900000.0,Bengaluru,SlicePay is an AI based instant credit app for youngsters in India,2018
Udaan,B2B,Growth Stage Funding,225000000.0,Bengaluru,Udaan is a B2B trade platform designed specifically for small and medium businesses in India,2018
Happyeasygo Group,Tourism,Early Stage Funding,1300000.0,Haryana,HappyEasyGo is an online travel domain,2018
Mombay,Food And Beverage,Seed and Pre-Seed Funding,7500.0,Mumbai,Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes,2018
Droni Tech,Information Technology,Seed and Pre-Seed Funding,511000.0,Mumbai,Droni Tech manufacture UAVs and develop software to service a range of industry requirements,2018
Netmeds,Biotechnology,Growth Stage Funding,35000000.0,Chennai,Welcome to Indias most convenient pharmacy,2018
Bombay Shaving,Ecommerce,Early Stage Funding,6300000.0,Gurugram,Provides a range of male grooming products,2019
Ruangguru,EdTech,Growth Stage Funding,150000000.0,Mumbai,A learning platform that provides topicbased journey animated videos quizzes infographic and mock tests to students,2019
Eduisfun,EdTech,Seed and Pre-Seed Funding,28000000.0,Mumbai,It aims to make learning fun via games,2019
Homelane,Interior Design,Growth Stage Funding,30000000.0,Chennai,Provides interior designing solutions,2019
Nu Genes,Agritech,Early Stage Funding,6000000.0,Telangana,It is a seed company engaged in production processing and marketing of seeds,2019
Flytbase,Technology,Early Stage Funding,6000000.0,Pune,A drone automation platform,2019
Finly,Saas,Early Stage Funding,6000000.0,Bengaluru,It builds software products that makes work simpler pleasant and productive,2019
Kratikal,Technology,Early Stage Funding,1000000.0,Noida,It is a productbased cybersecurity solutions provider,2019
Quantiphi,Ai & Tech,Early Stage Funding,20000000.0,Marlborough,It is an AI and big data services company providing business solutions,2019
Lenskart,E-Commerce,Growth Stage Funding,275000000.0,New Delhi,It is a eyewear company,2019
Cub Mcpaws,E-Commerce & Ar,Early Stage Funding,6000000.0,Mumbai,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha  kids,2019
Appnomic,Saas,Early Stage Funding,22000000.0,Bengaluru,It is a selfhealing enterprise the IT operations software detects predicts and prevents problems before they happen,2019
Kaleidofin,FinTech,Early Stage Funding,5000000.0,Chennai,Platform that provides complete financial solutions for excluded individuals and households,2019
Jobsquare,Hr Tech,Early Stage Funding,140500.0,Ahmedabad,Technologybased platform that is connecting suitable applicants to the right recruiters,2019
Open Secret,Food Tech,Early Stage Funding,6000000.0,Mumbai,It produces and sells top quality snacks,2019
Livfin,FinTech,Early Stage Funding,5000000.0,New Delhi,Grants small business loans supply chain finance and working capital loans to small and medium enterprises,2019
Byju'S,EdTech,Early Stage Funding,540000000.0,Bengaluru,Provides online learning classes,2019
Zest Money,FinTech,Later Stage Funding,15000000.0,Bengaluru,Uses AI to do risk profiling of ecommerce consumers who opt for EMI,2019
Witblox,EdTech,Early Stage Funding,182700.0,Mumbai,Offers a range of robotics learning tools,2019
Azah Personal Care Pvt. Ltd.,Health,Early Stage Funding,6000000.0,Gurugram,Aims to solve some problems in the feminine hygiene sector,2019
Salaryfits,FinTech,Early Stage Funding,5000000.0,London,A platform that promotes financial wellbeing of employees at workplace,2019
Pristyn Care,Healthcare,Later Stage Funding,12000000.0,Gurugram,Delivers advanced medical care  clinical excellence aided by nextlevel technology,2019
Springboard,EdTech,Early Stage Funding,11000000.0,Bengaluru,Offers online courses and extensive mentorbased learning,2019
Dror Labs Pvt. Ltd,Safety Tech,Early Stage Funding,6000000.0,New Delhi,It uses technology to create a trustbased network of responsible citizens to ensure safety,2019
Medlife,Pharmaceutical,Early Stage Funding,15500000.0,Bengaluru,It solves inadequacies in the healthcare delivery system through technology,2019
Seekify,Saas,Seed and Pre-Seed Funding,1500000.0,New Delhi,Customer Experience CX Automation platform,2019
Toffee Insurance,Insurance Technology,Early Stage Funding,5500000.0,Haryana,Provides variety of insurance plans and policies,2019
Fireflies .Ai,Ai,Early Stage Funding,5000000.0,San Francisco,Developer of an artificial intelligencepowered assistant for businesses,2019
Hungerbox,Foodtech,Growth Stage Funding,12000000.0,Bengaluru,Offers B2B tech platform to corporates aimed at improving the operations of their cafeterias,2019
Bijak,Agritech,Seed and Pre-Seed Funding,2500000.0,New Delhi,B2B platform for agricultural commodities,2019
Licious,Food,Growth Stage Funding,30000000.0,Bengaluru,Online meat shop,2019
Trume,Iot,Early Stage Funding,140000.0,Gurugram,A global platform for Identity and Access Management,2019
Pumpkart,E-Marketplace,Early Stage Funding,6000000.0,Chandigarh,B2B model for appliances and electrical products,2019
Asteria Aerospace,Robotics & Ai,Early Stage Funding,230000000.0,Bengaluru,Develops drones that are used by the military paramilitary police forces and in various industries,2019
Rivigo,Logistics,Growth Stage Funding,20000000.0,Gurugram,It offers delivery services across India to retail ecommerce pharmaceutical automobile and FMCG companies,2019
Happyeasygo,Travel,Later Stage Funding,49400000.0,Gurugram,Online flight booking,2019
Zetwerk,Manufacturing,Later Stage Funding,32000000.0,Bengaluru,Provides facilities to get products manufactured,2019
Observe.Ai,Ai,Early Stage Funding,26000000.0,Bengaluru,Creates a voice AI platform,2019
Freshokartz,E-Marketplace,Early Stage Funding,150000.0,Jaipur,Online fruits and vegetables delivery company,2019
Lil’ Goodness And Scool Meal,Food & Nutrition,Early Stage Funding,400000.0,Bengaluru,It empowers moms to provide the best of foods to their Lil ones,2019
Trell,Social Media,Early Stage Funding,2000000.0,Bengaluru,Blogging platform that enables people to create visual collections of their travel and local experiences,2019
Vmate,Short Video Platform,Early Stage Funding,100000000.0,Gurugram,A short video platform,2019
Bombay Shirt Company,E-Commerce,Early Stage Funding,8000000.0,Mumbai,Online custom shirt brand,2019
Slintel,Saas,Early Stage Funding,1500000.0,California,It helps sales and marketing teams understand purchase intent of buyers on buying patterns usage and renewals,2019
Mygamemate,E-Sports,Early Stage Funding,100000.0,Bengaluru,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,2019
Afinoz,FinTech,Early Stage Funding,6000000.0,Noida,Online financial marketplace for customized rate quotes on loans and investment products in India,2019
Rein Games,Technology,Early Stage Funding,50000000.0,Noida,It develops publishes and distributes games across various platforms,2019
Ecozen,Agritech,Early Stage Funding,6000000.0,Pune,It develops technologyenabled products to strengthen the farmtofork value chain of perishables,2019
Box8,Foodtech,Early Stage Funding,120000000.0,Mumbai,Enables to order food online,2019
Awign Enterprises,Workforce Solutions,Early Stage Funding,4000000.0,Bengaluru,It supplies workforce to the economy,2019
Purplle,Cosmetics,Growth Stage Funding,30000000.0,Mumbai,Online makeup and beauty products retailer,2019
Freightwalla,B2B,Early Stage Funding,4000000.0,Mumbai,Provides digital platform for businesses to plan and manage their international freight shipments online,2019
Tapchief,Online Consulting,Early Stage Funding,1500000.0,Bengaluru,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,2019
Ejohri,Jewellery,Early Stage Funding,1000000.0,Mumbai,Omnichannel marketplace for gems and jewellery,2019
Ninjacart,B2B Supply Chain,Early Stage Funding,6000000.0,Bengaluru,It connects producers of food directly to retailers restuarants and service providers,2019
Binca Games,Games,Early Stage Funding,6000000.0,Mumbai,It offers games that are available across India and UK,2019
Kredx,FinTech,Later Stage Funding,26000000.0,Bengaluru,Invoice discounting platform,2019
M.Paani,E-Commerce,Early Stage Funding,5500000.0,Mumbai,It digitizes and organises local retailers,2019
Origo,Agritech,Early Stage Funding,6800000.0,Gurugram,It provides postharvest management services for agricultural commodities,2019
Wishadish,Food & Tech,Early Stage Funding,6000000.0,New Delhi,Provides management solution for restaurants,2019
Ecom Express,Logistics,Early Stage Funding,36000000.0,Gurugram,It is a technology enabled logistics solutions provider to the Indian ecommerce industry,2019
Stanza Living,Accomodation,Early Stage Funding,5700000.0,New Delhi,Provides comfortable and secure accomodation for students,2019
Pibeam,Automotive Tech,Early Stage Funding,50000000.0,Chennai,It is engaged in building sustainable and affordable micromobility electric vehicles,2019
Euler Motors,Automotive Tech,Early Stage Funding,2000000.0,New Delhi,It is offering mobility as a service,2019
Moms Co,E-Commerce,Later Stage Funding,5000000.0,New Delhi,It is into mother and baby carefocused consumer goods,2019
Cubical Labs,Iot,Later Stage Funding,6000000.0,New Delhi,Home automation solution provider,2019
Lawyered,Legal Tech,Early Stage Funding,100000.0,New Delhi,It helps to connect to legal advise online,2019
Cuemath,EdTech,Early Stage Funding,5500000.0,Bengaluru,It helps students to learn math online,2019
Licious,Food,Growth Stage Funding,25000000.0,Bengaluru,Online meat shop,2019
Nivesh.Com,Mutual Funds,Early Stage Funding,600000.0,Noida,The platform simplifies the process of investment,2019
Zebu,Cybersecurity,Seed and Pre-Seed Funding,4000000.0,London,Platform uses encryption technology to allow businesses to safely store files invoices and schedules,2019
Smart Institute,EdTech,Early Stage Funding,1500000.0,Surat,A platform to learn online,2019
Cardekho,Automobile,Growth Stage Funding,70000000.0,Jaipur,Enables people to buy and sell newold cars,2019
Shadowfax,Logistics,Growth Stage Funding,60000000.0,Bengaluru,A platform for delivery services,2019
Credr,Automobile,Early Stage Funding,6000000.0,Mumbai,A marketplace to buy and sell used bikes and scooters,2019
Sportido,Sports,Later Stage Funding,6000000.0,Noida,It is a sports discovery app that helps to find people and places to play 700 sports,2019
Phable,Healthtech,Early Stage Funding,220000.0,Bengaluru,It creates an engagement loop between doctors hospitals and patients via its app,2019
Sarva,Yoga & Wellness,Early Stage Funding,2800000.0,Chennai,It drives a cultural change in making yogabased wellness a part of modern lifestyle,2019
Indyfint,Virtual Banking,Early Stage Funding,2100000.0,Bengaluru,It helps lenders to directly provide shortterm loans to merchants employees and students,2019
Zolostays,Accomodation,Early Stage Funding,7000000.0,Bengaluru,It offers affordable housing apartments to young professionals and students,2019
Ola,Transportation,Early Stage Funding,311000000.0,Bengaluru,It enables one to book cab online,2019
Zoomcar,Transport & Rentals,Early Stage Funding,4800000.0,Bengaluru,A car rental service platform,2019
Kratikal,Technology,Early Stage Funding,1000000.0,Uttar pradesh,Provides cyber security solutions,2019
Froogal,Marketing & Customer Loyalty,Early Stage Funding,1000000.0,Hyderabad,A cloud based Customer Loyalty  Engagement Platform,2019
Infra.Market,Infratech,Early Stage Funding,20000000.0,Mumbai,It connects client requirements to their supply chain infrastructure for ease of ordering tracking and manufacturing,2019
Oyo,Hospitality,Early Stage Funding,693000000.0,Gurugram,Provides rooms for comfortable stay,2019
Gomechanic,Automobile & Technology,Later Stage Funding,5000000.0,New Delhi,Find automobile repair and maintenance service providers,2019
Spinny,Automobile,Early Stage Funding,50000000.0,New Delhi,Online car retailer,2019
Ess Kay Fincorp,Banking,Early Stage Funding,33000000.0,Rajasthan,Organised NonBanking Finance Company,2019
Aqgromalin,AgriTech,Early Stage Funding,200000.0,Chennai,Cultivating Ideas for Profit,2020
Krayonnz,EdTech,Seed and Pre-Seed Funding,100000.0,Bengaluru,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2020
PadCare Labs,Hygiene management,Seed and Pre-Seed Funding,3000000.0,Pune,Converting bio-hazardous waste to harmless waste,2020
NCOME,Escrow,Early Stage Funding,400000.0,New Delhi,Escrow-as-a-service platform,2020
Gramophone,AgriTech,Early Stage Funding,340000.0,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2020
qZense,AgriTech,Seed and Pre-Seed Funding,600000.0,Bengaluru,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2020
MyClassboard,EdTech,Early Stage Funding,600000.0,Hyderabad,MyClassboard is a full-fledged School / College Management Software.,2020
Metvy,Networking platform,Seed and Pre-Seed Funding,3000000.0,Gurugram,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2020
Rupeek,FinTech,Growth Stage Funding,45000000.0,Bengaluru,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",2020
Gig India,Crowdsourcing,Early Stage Funding,1000000.0,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2020
Slurrp Farm,Food & Bevarages,Early Stage Funding,2000000.0,Gurugram,Slurrp Farm is a children health food brand.,2020
Medfin,HealthTech,Early Stage Funding,3000000.0,Bengaluru,Medfin is a Discovery platform for medical procedures and financing.,2020
MasterG,Fashion startup,Early Stage Funding,3000000.0,New Delhi,MasterG is a design and skill development organisation.,2020
Brila 91,Food & Bevarages,Early Stage Funding,1200000.0,New Delhi,Bira 91 is a craft beer company.,2020
FoodyBuddy,Food Industry,Early Stage Funding,600000.0,Belgaum,FoodyBuddy is a online food delivery portal,2020
Zomato,Food Delivery,Early Stage Funding,660000000.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,2020
OurEye.ai,Virtual auditing startup,Early Stage Funding,120000.0,Bengaluru,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020
Shiprocket,E-commerce,Growth Stage Funding,7500000.0,New Delhi,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,2020
Pine Labs,FinTech,Early Stage Funding,3000000.0,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,2020
Moneyboxx Finance,FinTech,Early Stage Funding,1000000.0,New Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2020
EWar,Gaming,Early Stage Funding,3000000.0,Bengaluru,EWar Games is a e-sports and real-time gaming start-up.,2020
SucSEED Indovation,FinTech,Early Stage Funding,5000000.0,Hyderabad,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",2020
TaxBuddy.com,FinTech,Early Stage Funding,1000000.0,Mumbai,TaxBuddy for any tax related issues.,2020
Awign Enterprises,Work fulfillment,Early Stage Funding,500000.0,Bengaluru,Operations and manpower outsourcing startup,2020
Circle of Angels,FinTech,Early Stage Funding,3000000.0,Gurugram,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,2020
CoinDCX,FinTech,Later Stage Funding,10000000.0,Mumbai,CoinDCX is a company that specializes in crypto-enabled financial services.,2020
Glance,AI startup,Early Stage Funding,145000000.0,Bengaluru,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020
VerSe Innovation,Telecommunication,Early Stage Funding,100000000.0,Bengaluru,Owner of Dailyhunt App and I-Pay,2020
Voosh,Food Industry,Seed and Pre-Seed Funding,3000000.0,Bengaluru,Building India's largest digital food service brand,2020
Delhivery,E-commerce,Early Stage Funding,3000000.0,Gurugram,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,2020
Arya,AgriTech,Later Stage Funding,21000000.0,Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",2020
